title,content,rating,version,votecount,votesum,time,page
下载陌陌出现问题,什么垃圾软件！,1,9.2.7,0,0,2022-03-06T09:31:21-07:00,1
177,为什么我登录的时候接收不到验证码,5,9.2.7,0,0,2022-03-06T06:07:53-07:00,1
无聊,没什么意思,1,9.2.7,0,0,2022-03-06T04:01:22-07:00,1
垃圾软件,打招呼用不了，发信息别人看不到，别人给我发信息打招呼我回了别人也看不到，必须关注才能看,1,9.2.7,0,0,2022-03-06T01:53:09-07:00,1
垃圾，一颗星都不想给,垃圾,1,9.2.7,0,0,2022-03-06T01:14:18-07:00,1
女人个个是女王,垃圾,1,9.2.7,0,0,2022-03-05T23:08:23-07:00,1
卖淫嫖娼的APp,打开陌陌全是各种水会，按摩推油打飞机，半套全套加包夜。,1,9.2.7,0,0,2022-03-05T08:36:03-07:00,1
陌陌是什么？,我是被这句话洗脑才下的，后来发现不一样，还可以的聊聊天就是了。,5,9.2.7,0,0,2022-03-05T06:43:31-07:00,1
。。。。,小宇宙负能量太大，又不能关。,3,9.2.7,0,0,2022-03-05T01:38:07-07:00,1
你能不能把附近的人改回去,现在看附近的人越来越糟糕了。能不能改回去,1,9.2.7,0,0,2022-03-05T00:20:34-07:00,1
垃圾,垃圾软件全是营销号，动不动就封号,1,9.2.7,0,0,2022-03-04T22:06:13-07:00,1
好平台,挺好的,5,9.2.7,0,0,2022-03-04T21:46:38-07:00,1
附近人,就喜欢附近人聊聊天，解解闷，为什么要限流呢？,5,9.2.7,0,0,2022-03-04T18:58:23-07:00,1
值得拥有喜欢,每天来看看，陌陌是每个人心里最重要牵挂，他是心灵港湾！每个人都有自己独特生活方式，陌陌提供这样天地，他给我们带来惊喜，让我每天都开心快乐幸福生活！谢谢陌陌工作人员！,5,9.2.7,0,0,2022-03-04T15:15:48-07:00,1
封号问题太严重,动不动就封号 无缘无故就封号 叫人怎么玩,1,9.2.7,0,0,2022-03-04T08:23:12-07:00,1
垃圾软件,扰乱互联网，垃圾软件，赚些不干净的钱,1,9.2.7,0,0,2022-03-04T07:30:42-07:00,1
好评让你们看见,垃圾软件 体验感极差 什么都没有发布结果号给封了 充的会员直接黑了钱给我 其次申诉实名认证直接不受理 客服电话也没有 真的是黑啊 难怪上市 这种公司不赚钱都难 太漂亮了,5,9.2.7,0,0,2022-03-04T00:36:43-07:00,1
陌陌收发消息有问题,消息收发都有问题，做啥app,1,9.2.7,0,0,2022-03-04T00:21:15-07:00,1
没什么好说的，就是很垃圾。,没什么好说的，就是很垃圾。,1,9.2.7,0,0,2022-03-03T21:16:30-07:00,1
后台,后台一直耗电,1,9.2.7,0,0,2022-03-03T17:05:11-07:00,1
拉鸡东西,废渣,1,9.2.7,0,0,2022-03-03T11:41:26-07:00,1
好气哦,第一次下 就碰到拖 只能说自己太傻,1,9.2.7,0,0,2022-03-03T07:24:51-07:00,1
岩应蚌,评论666,5,9.2.7,0,0,2022-03-03T07:16:01-07:00,1
身份审核不严谨，应该实名认证才能社交,骗子超级多，人妖冒充女的找对象,1,9.2.7,0,0,2022-03-03T07:14:06-07:00,1
垃圾app,ios用户注意下会员三元别信你会付12，紧接着会提醒旗舰会员12你付款就是30，垃圾app,1,9.2.7,0,0,2022-03-03T06:09:08-07:00,1
号被封,号会莫名其妙被封,1,9.2.7,0,0,2022-03-03T03:05:34-07:00,1
动态,动态能不能设置年龄，距离啊,1,9.2.7,1,1,2022-03-02T10:11:26-07:00,1
系统自己发动态，没经过同意,万一哪天发个灭掉人类的信息那就完了,1,9.2.7,0,0,2022-03-02T06:43:29-07:00,1
系统敏感太好,到现在还没有在陌陌聊一个,5,9.2.7,0,0,2022-03-02T03:50:26-07:00,1
莫名其妙的被举报 莫名其妙的 限制发言 没啥意思,体验太差 莫名其妙的限制发言,1,9.2.7,0,0,2022-03-01T23:11:28-07:00,1
1,没以前好玩了,1,9.2.7,0,0,2022-03-01T22:26:22-07:00,1
垃圾,太差了，动不动就给你封号，都不知道原因,1,9.2.7,0,0,2022-03-01T21:31:47-07:00,1
垃圾,我新手机号码登陆，什么都没做就说我严重违规。封我号。垃圾软件。关门算了,1,9.2.6,0,0,2022-03-01T13:03:15-07:00,1
为什么把隐身模式弄成这样,以前可以把位置和隐身打开 现在只能对好友隐身 有什么意义呢 还有位置信息也是关不掉 无语,3,9.2.6,0,0,2022-03-01T10:28:35-07:00,1
恶意修改用户账户,看不到附近的人收不到别人消息1证据确凿，一边说账号正常一边有员工偷偷对账号修改动手了,1,9.2.6,0,0,2022-03-01T05:40:44-07:00,1
挺好的,做得越来越好支持也希望能受到广大网友的喜欢在业余的时间充实一也是不错的晚上地铁跑酷啊，放松一下心情建议大家载这个游戏说是真心不错的外面高清内容充实然后角色有挺多这游戏还是有独特的魅力的特别是各式各样的车子收集起来特别过瘾谁让我喜欢车呢希望这游戏能越做越好期待更多更靓的车子出现全球同步竞技特别刺激有趣味如果社交能支持微信朋友一起交流相信这游戏能有更多的朋友来一起参与最后希望这游戏能有更多有趣的活动祝我自己心愿能够实现家人身体健康心情愉快为什么我再重新下载之后云端保存的数据没有任何显示只给我留下了云端数据的代币代币车和卡片我辛辛苦苦手刷的数据一点都不保存然后就是单机重刷了段时间之后显示了云端和本地数我们可以尝试一下这款游戏真的是非常的不错比我玩我其他的棋牌游戏都好玩太多了真是特别特别的厉害怎么早上中午晚上组合挺自由挺练习和分享或者乐早上中午晚上组合挺自由挺练习和分享或者乐只新的成长体积店名功能开放共享你的精彩点多家出来露露更多哟优质口袋真钱棋牌服务等你将吃遍天下而且从第一代开始玩就等于这个版本的完全打不过下个版本组给我种不就别想继续玩的感觉。要知道王已经出了好多了。预约奖励之类的跟没有一样除了钻石能开包之外其他都是养成玩法实在太肝到了一定等级才会解锁某张而且想要的不在一个身上也就是需要肝数个才行我这一星就是给王这个名字的特色金系统多奖励减半是大家都知道的，如果就这一家有这也就忍了，但还有际服这个竞争对手，服唯一的优势就是好，所以王不要再走提前圈猪老路了，王这非常有潜力的如果这你都能经营黄了，那你可真厉害了，想提点小建议，中的不用让你比际服高差不多就行，这样亲民点才能大量引流际服和萌新，基数多了你害怕赚不到吗你这点可以学学的王者，人家可以一分为什么赚这么多，就是基数大，一人元也比你这扣等土豪金强，且看起来到现在一个神将吃遍天下而且从第一代开始玩就等于这个版本的完全打不过下个版本组，,5,9.2.6,1,1,2022-02-28T14:01:39-07:00,1
苹果版本的，附近的人栏，我想恢复竖排,怎么恢复，希望能恢复,5,9.2.6,0,0,2022-02-28T09:10:51-07:00,1
超级垃圾,基本都是机器人,1,9.2.6,0,0,2022-02-28T06:51:18-07:00,1
野鸡软件,野鸡软件,1,9.2.6,0,0,2022-02-28T02:04:02-07:00,1
垃圾垃圾垃圾，,总是弹出陌生人直播通知，还关不掉。投诉举报都找不到人，天天推送订阅消息，关键是你还没订阅，还关不掉,1,9.2.6,0,0,2022-02-27T19:48:08-07:00,1
这垃圾软件真的恶心,你,1,9.2.6,0,0,2022-02-27T14:00:15-07:00,1
越来越垃圾了,垃圾,1,9.2.6,0,0,2022-02-27T08:02:00-07:00,1
烂,烂,1,9.2.6,0,0,2022-02-27T06:27:28-07:00,1
字体大小，看不清楚,字体大小太小了，费眼睛，改变不了字体大小,1,9.2.6,0,0,2022-02-27T05:27:24-07:00,1
垃圾,垃圾软件都还没和别人聊天就被封了,1,9.2.6,0,0,2022-02-27T00:51:59-07:00,1
乱七八糟,这陌陌真是什么玩意都有，都已经把一些女的屏蔽掉了，还天天刷到那个人动态！,2,9.2.6,0,0,2022-02-27T00:02:48-07:00,1
注销麻烦,垃圾 ， 不能注销,1,9.2.6,0,0,2022-02-26T23:39:00-07:00,1
直播美颜功能,请陌陌叔叔大爷观摩其他平台的直播美颜功能，麻烦把人中，短脸，小脸，眼距，等功能加上，相信陌陌会更加完美。,5,9.2.6,0,0,2022-02-26T13:21:44-07:00,1
垃圾软件里面到处都是诱导消费的,里面坑多，大家注意，最好不要下载，客服不处理问题，我在里面被诱导消费1个半小时被诱导充了4400多，客服不处理。,1,9.2.6,0,0,2022-02-26T05:47:23-07:00,1
越来越垃圾,越更新越垃圾，小宇宙功能无用 还不让关闭！,1,9.2.6,0,0,2022-02-25T21:13:41-07:00,1
佤邦犯罪动态较多,佤邦一些不法分子常常发布卖核酸证明,2,9.2.6,0,0,2022-02-25T16:56:21-07:00,2
超好玩的陌陌,陌陌真是一款很好的社交软件，我超喜欢！,5,9.2.6,0,0,2022-02-25T15:43:46-07:00,2
垃圾软件,上面随便找个女的聊聊是鸡头，全是骗人的垃圾软件还不倒闭,1,9.2.6,0,0,2022-02-25T12:07:12-07:00,2
请求谅解,我的账号被终身冻结。因为我根本不知道，发招聘信息，会被封号，十分抱歉，我陈恳请求解除封印,5,9.2.6,0,0,2022-02-25T06:57:09-07:00,2
定位有问题,最新版本定位有问题,2,9.2.6,0,0,2022-02-25T03:17:31-07:00,2
一般,一般般,1,9.2.6,0,0,2022-02-25T01:31:04-07:00,2
拉胯,风气不行，全是按摩啥的，不然就是叫你刷礼物的,1,9.2.6,0,0,2022-02-25T00:30:18-07:00,2
