title,content,rating,version,votecount,votesum,time,page
闪退,用苹果手机语音输入文字，点发送马上闪退，望快点修复,1,4.7.3,0,0,2022-03-05T10:18:13-07:00,1
账号被封，能不能把我的账号注销？,账号被封但是为啥我个人信息还在上面挂着？能不能注销掉我的账号？,1,4.7.3,0,0,2022-03-04T19:35:41-07:00,1
很垃圾,就是个故意引导对立的垃圾,1,4.7.3,0,0,2022-02-23T08:02:23-07:00,1
一点都没有用,实名h,1,4.7.3,0,0,2022-02-17T23:51:51-07:00,1
好用～,觉得挺好用～,5,4.7.2,0,0,2022-02-13T18:52:25-07:00,1
软件bug太多了,软件bug太多了，管理也不知道维护，已经变味了,1,4.7.2,0,0,2022-01-30T23:23:21-07:00,1
软件bug,总是提示，杀死程序重启后再试。无法使用。,1,4.7.2,0,0,2022-01-29T06:02:32-07:00,1
很不好用,里面功能不咋滴，还有人用其他人身份注册的。,1,4.7.2,0,0,2022-01-28T09:14:28-07:00,1
语音房退出后仍在里面,有些人退出app后，还显示在语音房里面，应该是bug吧。,5,4.7.2,0,0,2022-01-25T00:07:50-07:00,1
个人主页私密性不够,如最新更新了个人等级，希望放进设置里，自由选择是否显示,3,4.7.1,0,0,2021-12-25T14:05:12-07:00,1
地图,为什么地图打招呼找不到了,3,4.6.8,0,0,2021-11-26T23:40:44-07:00,1
垃圾东西,卸载了还一直发短信，恶心的要死,1,4.6.8,0,0,2021-11-26T21:31:23-07:00,1
为什么地图签到模式没有了,以前还有地图签到模式，至少知道有谁是活跃用户，现在没有这个功能了，上面一堆不活动的用户，有什么意义？,1,4.6.8,0,0,2021-11-23T16:58:51-07:00,1
很多不活跃的号还在上面,可以看出来很多号是多年不用的，也有很多活跃的号但是大多都心怀不轨,3,4.6.7,0,0,2021-11-16T03:26:43-07:00,1
这软件不充会员别想玩了,啥啥都要充会员，连看个消息都要，真没意思,2,4.6.7,0,0,2021-11-03T04:27:57-07:00,1
垃圾app啊，随意封禁账号，真的太垃圾了哈哈哈,垃圾app,1,4.6.6,0,0,2021-10-31T15:07:50-07:00,1
不要下！！！！,真的极其恶心，网络风气败坏，社交软件都是垃圾，再也不会下这种东西,1,4.6.1,0,0,2021-10-11T07:29:17-07:00,1
应届高考生也能注册这个软件,离谱的是高一的就能注册 exm？你没在逗我玩嘛？举报了准备。网信办见。,1,4.6.1,0,0,2021-10-04T22:57:58-07:00,1
已经卸载了一直发短信？,我真的服气了，都不知道卸载多少年了，居然还一直发短信来让你看看？既然已经卸载了就说明不想用了，刚卸载那会你发一发挽留一下情有可原，这都卸载好几年了我要想下回来早下回来了，我真的无语,1,4.6.0,0,0,2021-09-25T21:20:55-07:00,1
三颗星不能再多了 我都玩的害怕了,主页的“假装情侣”5次机会 次次都能碰到y的 开车的 或者一上来就喊我宝宝的 我就骂了他们几句 换来了却是平台给我的禁言警告....我不理解...,3,4.5.8,0,0,2021-09-23T02:32:11-07:00,1
停止短信骚扰,烦,1,4.5.8,0,0,2021-09-22T03:38:15-07:00,1
拿手机号登陆收不到验证码且显示余额不足,我明明充了钱但还是显示余额不足，手机号也没绑定别的账号没法同步信息，去哪找客服帮帮我呢？,3,4.5.8,0,0,2021-09-21T08:59:40-07:00,1
软件自身是很不错的,软件自身没有问题，只是总会有人借助渠道达到不为人知的目的使软件出现了与设计者初衷相悖的现象（被培养出来的高学历的精致利己主义者）,3,4.5.8,0,0,2021-09-14T14:50:54-07:00,1
软件会获取用户信息,这是最可怕的，而且全部按照管理员个人意愿，真的恶心，没教养,1,4.5.8,0,0,2021-09-04T05:32:17-07:00,1
学校认证,"首先学校认证只能摄像头拍照不可以从相册选取，并且拍电子产品照也无效必须手持学生证。
不太理解这是为什么，不能选取照片真的非常不便，如果学生证不在身边怎么办？对于放假或者已毕业的人来说很常见吧。
其次如果不是内地大学，刚录取还没有学生证的也没有纸质录取通知的话，电子版录取通知书也不认，一定要拍照？非得把offer打印出来吗，这跟拍其他电子产品屏幕上的录取通知有什么本质区别吗？",1,4.5.6,0,0,2021-08-19T19:09:46-07:00,1
后台就是女拳霸权。,后台就是女拳霸权。,1,4.5.6,0,0,2021-08-16T19:31:39-07:00,1
垃圾软件垃圾人,在上面提到的网友都想骗pao,1,4.5.6,0,0,2021-08-14T08:55:54-07:00,1
打着校园交友的名头，其实并没好到哪里去,垃圾软件，很恶心人,1,4.5.6,0,0,2021-08-13T03:34:05-07:00,1
21年留学生无法认证,提交了录取通知后，Summer反馈只能通过学生证、学生卡认证学历，目前不能入境的留学生无法拿到实体证件，因此无法使用此app。望处理。,1,4.5.6,0,0,2021-07-31T20:57:50-07:00,1
打着高校大学生的幌子吸引用户下载,其实软件里遍布骗子，约x，引战辱骂的垃圾。,1,4.5.6,0,0,2021-07-28T10:09:21-07:00,1
垃圾,太垃圾了 管理员为女权服务。感到失望。无端被骂还要被举报。管理员太让人失望了。希望大家千万别玩这个，闹心。,1,4.5.6,1,0,2021-07-09T07:26:57-07:00,1
什么也不让发,"不知道审查制度是怎么制定的 基本要把整个新华字典当作关键词屏蔽了
用户还特别愿意举报帖子
自己健身的动态记录也会被删帖 
评论任何和审查机制或管理员有关的问题都会被举报删除
垃圾软件",1,4.5.5,1,1,2021-07-01T23:55:38-07:00,1
一个建议,假装情侣有一点点尴尬呢。不如改成匿名的真心话…,3,4.5.0,0,0,2021-07-01T00:33:51-07:00,1
🈚️内鬼,根本找不到帅哥 大家快走吧 ！,2,4.5.0,1,1,2021-06-13T05:02:00-07:00,1
垃圾,垃圾中的垃圾,1,4.5.0,0,0,2021-06-13T01:34:17-07:00,1
给爷封号了,前两年的时候玩的，然后因为管理员删帖，我把管理员怼了然后给我封号了，呸，一星差评,1,4.5.0,0,0,2021-06-11T03:44:22-07:00,1
都没有什么活跃用户,都没几个用这个APP的,2,4.5.0,0,0,2021-06-08T19:52:11-07:00,1
没有真诚的妹子,在这里的没有真诚的,1,4.4.8,0,0,2021-06-05T08:52:33-07:00,1
留学生怎么注册啊,这就很尴尬了,2,4.4.8,0,0,2021-06-02T13:58:06-07:00,1
10个女的九个绿茶,垃圾软件,1,4.4.8,0,0,2021-06-01T04:28:21-07:00,1
只能相机现场拍摄认证真的很不好,"学生证在千里之外，那我是不配用贵app了吗？
希望可以上传照片认证！",2,4.4.8,0,0,2021-06-01T02:56:20-07:00,1
苹果手机下载不了最新版,如题,4,4.4.8,0,0,2021-05-27T08:10:04-07:00,1
累了,玩了一天也没一个人跟我说话的 还是去看直播吧好歹小姐姐还能回复一句,2,4.4.8,0,0,2021-05-23T01:27:16-07:00,1
不是说大学生交友软件吗……,srds，我没有任何恶意 但是为什么我这边都是20大几三十多岁的人啊？？就是真的...聊得有点代沟,3,4.4.8,0,0,2021-05-18T19:09:52-07:00,1
不能修改性别就很emmm,性别后面没有修改路径，反馈了也不行，没有人理我,2,4.4.2,0,0,2021-04-30T08:33:31-07:00,1
垃圾,垃圾软件,1,4.4.0,0,0,2021-04-24T20:40:19-07:00,1
我在这找到了男朋友,"我初恋是在这个平台认识的，如果同为大学生的话，这个交友软件的人的类别更纯一点，社会人士和骗子少一点（但也还是有）。后面又认识了想去读研梦校的那个系的学长，还是同乡，他今天问要不要辅导我，我觉得……真的很感谢软件，如果我真考上那个大学的研了回来还愿🙏 
现任也是这个软件认识的 感觉能谈很久 会结婚 如果结婚了来还愿",5,4.4.0,2,1,2021-04-23T10:14:26-07:00,1
我服了,我服了 注册一分钟 审核100年 是去火星审核了吗？:-D,2,4.4.0,0,0,2021-04-10T19:53:48-07:00,1
渣男聚集所,碰见渣男 死渣男 真恶心,1,4.3.9,0,0,2021-04-08T03:36:58-07:00,1
经常网络不给力 错误码-10009,网络不给力 错误码-10009,3,4.3.9,0,0,2021-03-26T08:37:27-07:00,1
莫名其妙第一名,"真的足够奇怪 莫名其妙封禁 
该封禁的每天找固找S的 发滴滴滴DDD 
每天开车的不封禁 
不该封禁的看不顺眼就封禁？？
有够好笑，从18年玩到现在的老用户也推荐给过身边人 不过现在真的不推荐了
宝贝们清醒点吧
早日倒闭 你放心我会每天举报一次",1,4.3.9,1,0,2021-03-10T02:34:00-07:00,2
要不是等你们管理员人工给我答复早卸载了,"审核不严，没品的男生可以坚持不懈换号对人持续辱骂2次，仅仅因为我这边看对方照片太糊了单方面解除了好友关系，莫名其妙被辱骂家人（直接骂NMSL），举报以后虽然这个ID被封号了可是立刻同一个学校的男生（疑似小号）接着来通过答题卡辱骂。继续举报仅仅得到警告处理。
暴露出的问题：1.通过答题卡可以随便骂人；2.审核不严，同一个人可以换号无限骂人
当然还有你们这个app到了晚上简直换了个世界，厌男的朋友有兴趣去看看，实在令人恶心",1,4.3.9,0,0,2021-03-06T22:42:50-07:00,2
差评,为啥毕业生就不给通过认证审核呢，差评差评，欺负人,1,4.3.8,0,0,2021-03-05T04:52:27-07:00,2
司马平台,早日倒闭,1,4.3.7,0,0,2021-02-18T22:18:34-07:00,2
垃圾东西,只能毕业两年内？脑子有病吧,1,4.3.7,0,0,2021-02-18T04:20:18-07:00,2
图片啊,图片发不出去啊，程序员赶紧上班啊，一直都是小叹号我都要疯了！！！！！！！！！！！！！！！！！！！,4,4.3.7,0,0,2021-02-16T22:35:22-07:00,2
感谢summer让我找到男朋友 啊啊啊,感谢summer让我找到男朋友 啊啊啊,5,4.3.7,0,0,2021-02-15T00:48:53-07:00,2
认证只能拍照不能传图,原来只能用照相机拍照不能传照片认证的问题两年前就已经提了，现在还没改，真的是太恶心人了，我还是夏星人、会员都不能认证过分了吧,1,4.3.7,0,0,2021-02-09T04:15:55-07:00,2
乱七八糟推送烦人的一逼,只能关掉消息权限,2,4.3.7,0,0,2021-02-08T17:19:17-07:00,2
运营垃圾,软件是个好软件，就是运营就是个垃圾，问题不解决，说话像别人欠他钱似的。色情擦边球不封，一天到晚没事干。,1,4.3.7,1,1,2021-02-06T20:55:18-07:00,2
为什么性别设置错了不能改？？,如题,1,4.3.7,0,0,2021-02-04T10:02:27-07:00,2
允许色情信息存在,纵容色情信息存在且恶意封停行为,1,4.3.7,0,0,2021-02-02T20:16:26-07:00,2
求动态可见范围调整功能！！！！,希望像微博设置动态仅自己可见功能！希望像微博设置动态仅自己可见功能！希望像微博设置动态仅自己可见功能！希望像微博设置动态仅自己可见功能！希望像微博设置动态仅自己可见功能！希望像微博设置动态仅自己可见功能！,5,4.3.7,0,0,2021-01-31T23:46:11-07:00,2
iPad版本居然图标都没有。。。,安装完成后居然是无图标,3,4.3.7,0,0,2021-01-31T20:29:19-07:00,2
关于认证,就不能增添一个添加照片的功能？？？必须要现照 太不灵活了吧,3,4.3.7,0,0,2021-01-31T05:12:53-07:00,2
脱单了！！！,"上面很多都是985/211或者海外高校学生，素质高且单纯，没有很多乱七八糟的人，认识了一些朋友和现在的男朋友哈哈哈哈哈哈！
虽然我俩好了就都把这个卸了，但是要感谢它呀！",5,4.3.7,1,1,2021-01-25T02:51:11-07:00,2
广告窗口设计的产品司马,碰到不松手指就自动弹开,1,4.3.7,0,0,2021-01-21T21:04:20-07:00,2
希望适配iOS的夜间模式,晚上看很刺眼,4,4.3.7,0,0,2021-01-21T02:13:42-07:00,2
iPad图标空白,iPad图标空白,4,4.3.7,0,0,2021-01-20T16:43:29-07:00,2
网络有真爱，母猪能上树,如题,1,4.3.7,0,0,2021-01-20T14:58:43-07:00,2
app的大部分男性都饥渴的不行了吗？？？,"不得不说这款软件的环境和一年前已经完全相背了…
虽然学校有严格的审查，但是年份可以造假…30+的人也不乏在里面乱来。
接触到的男性80%都有性暗示，真的离谱。不能和他们私下聊天，只期待在动态下互动还是比较正常的。",1,4.3.7,0,0,2021-01-19T09:59:29-07:00,2
更新,啥时候更新互戳的功能,3,4.3.2,0,0,2021-01-10T20:59:27-07:00,2
summer测评很差劲,"我觉得人应该筛选一下吧
有些人聊天就很让人无语
文不对题
都是敏感问题
非要加联系方式
很差尽
建议真的不要玩",1,4.3.2,0,0,2021-01-08T04:12:28-07:00,2
希望开发者可以推出屏蔽本校功能,有时候吐槽本校或者想发自拍被认出真的很尴尬，强烈建议推出屏蔽本校功能！！,4,4.3.2,0,0,2021-01-05T03:32:28-07:00,2
小仙女,找到女朋友了，谢谢！大家加油！,5,4.3.2,1,1,2020-12-27T01:26:03-07:00,2
泄露隐私,把你的资料提供给人才市场,1,4.3.2,1,1,2020-12-23T16:42:02-07:00,2
卸载2年了还在疯狂给我发短信,卸载两年了还在疯狂发短信并且没有退订方法，恶感拉满,1,4.3.2,0,0,2020-12-12T21:22:29-07:00,2
被骗,不知道是如何通过学生认证的，信息都是假的。欺骗我的感情。,1,4.3.1,1,1,2020-12-11T21:48:56-07:00,2
球球开发个注销恢复功能嘛QAQ,当时怕自己考试影响删了..还注销了两次真的蠢蠢蠢，策划能不能恢复一下哇,5,4.3.1,0,0,2020-12-09T02:47:35-07:00,2
垃圾软件不要充值,垃圾软件，等你充值夏星人以后，给你匹配的假装情侣都是机器人,1,4.2.6,0,0,2020-11-21T23:34:28-07:00,2
什么时候可以解决一下收不到验证码的问题？,收不到验证码无法注册,1,4.2.6,0,0,2020-11-17T16:51:05-07:00,2
要当心上面的拜金女骚扰,要当心上面的拜金女骚扰，此外它自动获取位置信息，有可能在贩卖GPS定位。,1,4.2.6,0,0,2020-11-15T10:02:35-07:00,2
垃圾骗人,要毕业后两年，三年的不行，审核资料上传了还泄露了个人信息！也不提前说明！垃圾,1,4.2.1,1,1,2020-10-28T22:42:47-07:00,2
不可以修改性别吗？,我填错性别发现，根本无法修改，我的summer之旅刚刚开始就结束了🔚，这交友之路也太难了吧，你们不打算改进一下吗？,5,4.2.1,0,0,2020-10-26T05:13:09-07:00,2
疑惑,诶话说这个软件为啥只有女生出卷男生答题？难道女孩纸木有答题的权利嘛？女生主动出击不香嘛hhh,4,4.2.1,0,0,2020-10-24T20:25:35-07:00,2
可惜没得选不然半星也不想给,summer现在越来越搞笑了，去年玩得时候人还比较多，各种功能都开放，勉强可以冲，后来上面zha男zha女增多卸了一段时间。今年下回来一看，好家伙不光一群yp、liaosao的肆无忌惮，几乎各种项目都要收费，且价格贵的离谱。一张好牌被你们打得稀烂，各种bug不修复，变相收费张口就来，不看看老用户流失了多少，列表注销一大把。,1,4.2.1,0,0,2020-10-23T18:00:41-07:00,2
还好,软件很好，就是人数太少,5,4.1.8,0,0,2020-10-19T00:06:19-07:00,2
太无语了,为什么出点bug连个客服都找不到 qq客服几天了都没有通过好友,1,4.1.6,0,0,2020-10-14T01:03:20-07:00,2
标榜与事实不符,确定只有大学生才能玩？我认识很多毕业五六年，三十岁左右的人在玩,1,4.1.6,2,2,2020-10-09T02:04:29-07:00,2
姑娘们，记得别被骗,以为玩这个软件的都是学生？？？太天真了，随便什么野鸡学校也能通过审核，结果是早就工作的社会人，别被骗了。,1,4.1.6,0,0,2020-10-01T09:06:39-07:00,2
就很奇怪,很多人都是卸载了一遍又一遍，我觉得这点和app本身是有关系的。,1,4.1.6,1,1,2020-09-30T19:46:37-07:00,2
是不是没钱招程序员。写的什么垃圾,"给你提个聊天软件史上都没出现过的bug
拉黑以后对方竟然还能对你发消息。
你们拉黑功能就是做做样子？",1,4.1.6,0,0,2020-09-26T08:30:37-07:00,2
体验很好，素质高的不少,都是大学生，也容易有共同话题，还可以了解到一些学校里平常不容易看到的学校趣事,5,4.1.6,1,0,2020-09-22T01:59:39-07:00,2
无法登陆,手机验证码说网络不给力，用微信登也网络不给力。唉。白瞎这软件了,3,4.1.3,0,0,2020-09-12T09:08:09-07:00,2
软件恶意骗取个人信息，大家小心,注册了以后马上被培训机构骚扰电话打进来，最近只注册了这一个软件，大概率是把个人信息卖给中介机构了，大家一定注意,1,4.1.3,1,1,2020-09-10T00:11:17-07:00,2
快给我审核通过啊,快给我审核通过,5,4.1.3,0,0,2020-09-09T06:48:27-07:00,2
为啥发不了验证码？,注册第一步就卡住，点击“获取验证码”一直说“网络不给力”,4,4.1.3,0,0,2020-09-06T06:49:59-07:00,2
充值界面卡住！,开通夏星人时无限载入转圈圈…希望尽快解决,3,4.1.3,0,0,2020-09-04T17:31:15-07:00,2
垃圾软件,客服说话态度十分恶劣，用户是欠你们钱了？软件连个人工客服电话都没有？垃圾玩意儿,1,4.1.3,0,0,2020-09-04T02:52:27-07:00,2
啥时候恢复兔子洞？,？,1,4.1.2,0,0,2020-09-03T01:39:01-07:00,2
黑黑黑,一生黑，之前有任务下载了，卸载后经常发短信给我，无语，恶心,1,4.1.2,0,0,2020-09-02T18:17:53-07:00,3
还蛮好玩的,为啥性取向那一栏没有双性恋，也想接到点漂亮姐姐的留言。。。。,4,4.1.2,0,0,2020-09-02T04:29:31-07:00,3
很多学校都没有……,我们学校也不差啊，学校资料真的有待完善。不比国内顶尖，但211，985还是比得过的。国外学校太少了,1,4.1.2,0,0,2020-09-01T22:30:40-07:00,3
不交钱几乎不能用了,非常差，现在收费项越来越多，不开会员几乎没法用了，就是一个坑,1,4.0.8,0,0,2020-08-26T17:06:27-07:00,3
蛮干净的吧,刚玩了一天吧，感觉加的都是比较正常的人，就不像隔壁某s啥的，就不一定很聊得来就都是正常人（我在说什么,5,4.0.8,0,0,2020-08-24T09:18:51-07:00,3
Dodd,为什么注销账号以后就不可以用这个手机号登录了，还不能给人反悔的机会吗,2,4.0.8,0,0,2020-08-20T01:36:19-07:00,3
一个重大缺陷,不明白为什么身份认证不能上传文件只能拍照，这样对拿外国学校offer的同学相当不友好,1,4.0.8,0,0,2020-08-18T22:42:55-07:00,3
在这个软件上找到了我的男朋友,嘿嘿,4,4.0.5,0,0,2020-08-12T23:26:16-07:00,3
还不错 作为app还有些细节优化的地方,我们不可能把summer用来聊天的使用感和微信或者QQ那样的体验，所以做到这样已经蛮好的了，但是呢最近插播的一些视频广告真的需要优化一些，一旦打开帖子界面，下方必有广告，一旦有广告，我后台的音乐直接卡掉，听歌得再重启，所以有时候我看歌没了就很生气直接把summer刷掉了，啥也不想看....还有就是iPhoneX以上发语音消息真的是难为我胖虎...我发语音消息成功的概率太低了，上划取消就按成的app上划，能不能把语音框整体往上来电....,3,4.0.5,0,0,2020-08-12T16:14:23-07:00,3
会员机制恰烂钱,呕,1,4.0.5,0,0,2020-08-12T06:57:13-07:00,3
可以随便举报,我就只是发了一个很正常的兔子洞，不涉及任何违规内容，真够可以的,1,4.0.5,0,0,2020-08-11T01:29:31-07:00,3
学历认证怎么弄都不给通过,如果是人工审核，就别用那种智障了好吗？还是只要是英文的都不给通过,1,4.0.5,0,0,2020-08-10T12:11:36-07:00,3
不喜欢,我无语了，审核咋都不通过，啥都不能干。,1,4.0.5,0,0,2020-08-05T03:41:31-07:00,3
用户有点少，,其它都还好，真实，简单，素质可以都,4,4.0.5,0,0,2020-08-05T00:36:56-07:00,3
不记得自己注册时的手机号了怎么办？,在账号里也没有可以绑定其他社交账号的选项,4,4.0.5,0,0,2020-08-05T00:36:53-07:00,3
账号注销之后 别人还能搜索到你吗～,账号注销之后 别人还能搜索到你吗～,4,4.0.5,0,0,2020-08-03T09:53:26-07:00,3
简单一评,别的我也不说啥了，就匿名匹配，免费5次可以，但是没匹配成功还扣次数就过分了吧，今天5次机会就匹配成功了一次，剩下四次全身没匹配到给扣没的.....简直了,1,4.0.5,0,0,2020-07-31T23:38:49-07:00,3
