title,content,rating,version,votecount,votesum,time,page
账号无缘无故被封,我之前这个探探账号什么都没发 就说我违规了，把我的号封了，说我搞色情之类的，我就很疑惑，之前申诉也没用，一直到现在这个号都没解封…,1,5.1.4,0,0,2022-03-06T09:33:57-07:00,1
约会,好多女的约,5,5.1.4,0,0,2022-03-06T03:39:45-07:00,1
交友软件，懂的都懂,确定都是真人？不说我以为都是电脑人，没意思，玩这种社交软件，大家懂的都懂，本来就不强求，随缘罢了,1,5.1.4,0,0,2022-03-06T02:45:32-07:00,1
朋友遍天下,这个平台很好。现在都市生活。邻居都不认识你让她们有了找朋友的地方,5,5.1.4,0,0,2022-03-05T23:36:20-07:00,1
平台套路深,平台套路多，先是会员，后是超级会员，再来什么特权，所有开通了后还有各种充值诱惑，没得一个月200块包不月，平台人员资料也极其简单，不适合真心交友的人,2,5.1.4,0,0,2022-03-05T21:34:50-07:00,1
都是骗子,没有一个是真的，都是骗子！骗的人遍体鳞伤,5,5.1.4,0,0,2022-03-05T15:17:45-07:00,1
付费需谨慎,没开会员之前一堆喜欢的人，开了之后一个都没有，附近的人没几个，划完，蹦出来一堆外地的，100多公里的，泰国的。真人没几个，酒托，黄色一大堆，没实名认证，照骗一大堆。还无缘无故封了我3天，垃圾软件。各位千万别付费！！！连个人工客服都没有，探探助手就是个垃圾机器人。,1,5.1.4,0,0,2022-03-05T07:58:40-07:00,1
发现男友有探探后发生的故事……,就是反手自己也来体验一把心动的感觉,2,5.1.4,0,0,2022-03-05T04:41:16-07:00,1
坑会员,一开会员收到打招呼的都没有了,1,5.1.4,0,0,2022-03-05T02:22:16-07:00,1
太棒了,用了探探天天约p腰子都吃不消了,5,5.1.4,0,0,2022-03-04T18:46:54-07:00,1
无语,无语 被盗图了 真的建议出个发图必须人脸识别的功能😅,1,5.1.4,0,0,2022-03-04T05:00:12-07:00,1
好多网图女 用网图就算了用大网红的网图,一眼假 还有很多招嫖的吧软件搞的乌烟瘴气的投诉也不管 真烦这,1,5.1.4,0,0,2022-03-04T02:25:42-07:00,1
什么垃圾东西,明明有消息推送 进入app啥都没有 一个聊天软件还存在丢消息这种低级问题？,1,5.1.4,0,0,2022-03-03T22:14:53-07:00,1
捧男人臭脚第一软件,男的发骚扰信息就无所谓，我骂他一句就被封，牛哇，多制造点机器人跟男的聊天吧，男的多花点钱充vip跟机器人聊天,1,5.1.4,0,0,2022-03-03T22:02:39-07:00,1
垃圾,我去你奶奶的 注销了还发信息搞我 你有那个大病吗？早点倒闭行不行 垃圾软件,1,5.1.4,1,1,2022-03-03T18:29:55-07:00,1
