title,content,rating,version,votecount,votesum,time,page
可不可以恢复我的账号啊！！！！！！！！,为什么我的账号直接被注销了？不是有七天缓冲期的吗！！！！我还没和朋友说再见啊！！怎么办啊！！！！！,1,4.20.0,0,0,2022-03-05T10:54:42-07:00,1
垃圾软件，几年了还这么不稳定,到处是bug，不管是视频，还是语音，没有不出bug的地方，不管你是外放还是用耳机，全部容易有回声，网络明明没问题，非要显示自己或者对方网络不佳,1,4.20.0,0,0,2022-03-05T10:14:28-07:00,1
环境恶劣,官方能不能设置一个考题，只有完成考题才可以注册聊天，挺好的一个交友软件环境太差了，很影响心情，半夜气的我睡不着觉。,1,4.20.0,0,0,2022-03-05T08:59:41-07:00,1
不推荐,平平无奇的找不到，匹配到了聊不下去，然后每天后台挂着还费很多电，垃圾。。。,1,4.20.0,0,0,2022-03-05T06:10:10-07:00,1
不值得玩,我也是老用户了，看了太多喷子了，这个软件应该叫怼怼。这些人没事就评论一些诋毁你的话，有抑郁症去看医生好吗？这个社交软件的用户真的不咋滴，玩了能气死。劝你别上手,1,4.20.0,0,0,2022-03-05T04:51:13-07:00,1
不保护女性玩家,女性玩家在此app内不被保护，女性玩家在狼人杀功能房间没事当众被骂**女，却把女生号封了不封男的号。不分黑白的软件？,1,4.20.0,0,0,2022-03-05T03:39:32-07:00,1
#懂得都懂,玩了这么久，其他的没什么变化，充值商品到是多了不少，莫名禁言封号也是无语了，一个社交软件给用户带来的体验应该是有趣而充满期待的，一昧的圈钱，而不懂得怎么样去留住用户，用户的反馈也得不到及时合理的解决，实在是让人失望,1,4.20.0,0,0,2022-03-05T00:51:38-07:00,1
不管有没有违规举报就封号,这个APP真的不能再垃圾了，没有好人不说还有在这上面卖的这都没事 我也很想知道官方一天在管理些什么 坏人没整治 好人都报废,1,4.20.0,0,0,2022-03-05T00:23:25-07:00,1
编辑瞬间,怎么没有编辑已发送瞬间的功能！,4,4.20.0,0,0,2022-03-05T00:16:23-07:00,1
广告我服了！,开发人员脑子想的什么东西？开屏广告就算了，我没点就自己转到对应的app还直接给我打开了？恰烂钱？,1,4.20.0,0,0,2022-03-04T23:03:45-07:00,1
恶心的软件,如上！再下载我不得好死！,1,4.20.0,0,0,2022-03-04T16:26:51-07:00,1
垃圾,太垃圾了，作为一个社交软件语音经常掉线，知道为什么最后落地到微信了吧？,1,4.20.0,0,0,2022-03-04T09:57:05-07:00,1
【救命】不要给听爵士的人推荐听民谣的,"若一人标签为爵士乐，另一人标签为民谣。麻烦不要推荐给我，真的当头一棒，不是鄙视，是我真的无法喜欢民谣。这样，再多的匹配都是令我更加反感。
来自一个感性的女生的想法，望采纳。",2,4.20.0,0,0,2022-03-04T06:44:32-07:00,1
好软件 伴一生,里面都是充值页面 这就算了 网络暴力 现在卸载了 还天天发短信让下载,5,4.20.0,0,0,2022-03-03T21:43:00-07:00,1
无故封号,我真的没有不当言论，直接被强制掉线，然后强制封号,1,4.20.0,0,0,2022-03-03T19:08:11-07:00,1
下载不了？,下载还要钱？,1,4.20.0,0,0,2022-03-03T13:22:32-07:00,1
提议修整,没有超级可可爱爱的表情，有趣的人太少了,1,4.20.0,0,0,2022-03-03T05:22:43-07:00,1
一般般,啥都要钱，里面都是炫这炫那的、不知道的还以为以为我下载了个懂车app,1,4.20.0,0,0,2022-03-02T23:46:00-07:00,1
普信男不多，说着别人普信男的普信女多去了,哪来的自信？长得一般P图美颜照骗直接10分，结果奔现还是一个职校的家里农村的，出于礼貌见面请她去必胜客，她给我来一句我可以打8分...我差点笑出声...还说自己家里复式别墅二层...农村不都是那种二层的...生怕别人看不起... 这位姐姐语出惊人...我都不想多说了...奔现6次 其中四次翻车在soul 两次在赫兹 我只想说自己家里条件一般 长的也一般在社交软件上哪来的底气在这 嫌这嫌那的？,1,4.20.0,0,0,2022-03-02T22:05:24-07:00,1
音效不能自己设置？,"能不能自己设置匹配的音乐开关？
我一点都不喜欢灵魂匹配的时候放的音乐
明明放的很小声
麻烦加个开关吧！
匹配的时候不需要声音音乐",1,4.20.0,0,0,2022-03-02T18:00:40-07:00,1
垃圾,动不动就封号，垃圾,1,4.20.0,0,0,2022-03-02T16:02:25-07:00,1
咱说的能不能把语音这个功能优化一下吗？,做个iOS系统语音能功能能不能好好整整？切后台之后看其他软件视频，直接掉线。要不然就卡死，能不能优化一下？？？,1,4.20.0,0,0,2022-03-02T11:49:37-07:00,1
语音匹配的蝻人都是精虫上脑吗？,晚上碰到的普信男 一上来就问人家鹿吗？有病吧！举报也没有反馈，净出些恶心人的新玩法！funny mom de pee,1,4.20.0,0,0,2022-03-02T09:50:35-07:00,1
垃圾,什么垃圾软件 我玩个狼人杀 我没骂人在那里说我骂人举报我 我真的是无语了,1,4.20.0,0,0,2022-03-02T07:40:58-07:00,1
不会玩的小哥哥小姐姐,建议不会玩的不要玩，不然会恶心到，我现在就注销了,3,4.20.0,0,0,2022-03-02T01:37:45-07:00,1
差劲👎,"玩了一千多天也见不到几个新人
这几百万用户都是花钱买来的吧
发个瞬间没人看的
跟个单机游戏似的
我还不如写在日记本或者备忘录上
最垃圾的软件之一",1,4.20.0,0,0,2022-03-02T00:48:17-07:00,1
太差劲  对于随便辱骂的不给予处理,这个软件太垃圾 对于随便辱骂的不给予解决处理  到底这个软件管不管随便骂人攻击人的 请问 举报了给个处理结果,1,4.20.0,0,0,2022-03-02T00:26:07-07:00,1
差评,乱七八糟的人 身份都是假的 还有诈骗的 骗子在里面 你们都不管 举报都不管 破软件,1,4.20.0,0,0,2022-03-01T22:37:24-07:00,1
差评,乱七八糟的人 身份都是假的 还有诈骗的 骗子在里面 你们都不管 举报都不管 破软件,1,4.20.0,0,0,2022-03-01T22:37:24-07:00,2
语音聊天不加速匹配不到人,不充钱 不能聊天是吧,1,4.20.0,0,0,2022-03-01T21:36:02-07:00,2
垃圾,垃圾软件，卸载了还不停发信息,1,4.20.0,0,0,2022-03-01T20:22:27-07:00,2
我只能说身份证被注册过后申诉一直没结果,身份证被盗用申诉四五回没结果,1,4.20.0,0,0,2022-03-01T12:56:21-07:00,2
不是原来的soul了,语音想找人说说话吧 只能接通第一个 不用加速卡就永远都匹配不到 强制消费呗,1,4.20.0,0,0,2022-03-01T09:04:30-07:00,2
胡乱封号,垃圾APP，胡乱封号，沟通渠道又少，非要到一些平台投诉才沟通，但也不算沟通，顶多也就通知一下原因，都跟他们说明情况了还永久封，听不懂人话，不珍惜用户是吧，卸载！！！继续投诉到工信部去,1,4.20.0,0,0,2022-03-01T08:51:04-07:00,2
迟早凉凉,什么p软件，随便封号，我一个一千多天的人了，就刚刚莫名其妙一个抽烟喝酒纹身女被渣男玩了，来找我骂我冲我发脾气，关我什么事，我拉黑了还封我号，笑死,1,4.20.0,0,0,2022-03-01T08:41:26-07:00,2
搞黄色的男的太多了！,搞黄色的男的骚扰我 我举报。Soul把我也封了，笑死 傻杯软件,1,4.20.0,0,0,2022-03-01T07:36:07-07:00,2
语音通话,聊天没问题但是语音次数能不能增加,5,4.20.0,0,0,2022-02-28T15:25:06-07:00,2
有趣的灵魂,在业余的时间充实一下也是不错的晚上地铁跑酷啊放松一下心情建议大家载这个游戏说是真心不错的，外面高清内容充实然后角色有挺多这游戏还是有禹庙兰亭今古路特的魅力的特别是各式各样的车子收集起来特别过瘾谁让我喜欢车呢希望这游戏能越做越好期待更多更靓的车子出现同步竞技特别刺激有趣味如果社交能支持微信朋友一起交流相信这游戏能有更多的朋友来一起参与最后希望这游戏能有更多有趣的活动祝我自己心愿能够实现家人身体健康心情愉快为什么我再重新下载之后云端保存的数据有任何显示只给我留下了云端数据的代币代币车和卡片我辛辛苦苦手刷的数据一点都不保存然后就是单机重刷了段时间之后显示了云端和本地数我们可以尝试一下这款游戏真的是非常的不错比我玩我其他的都好玩太多了真是特别特别的厉害怎么早上中午晚上组合挺自由挺练习和分享或者乐早上中午晚上组合挺自由挺练习和分享或者乐只新的成长体积店名功能开放共享你的精彩点多家出来露露更多哟质口袋服务等你将吃遍天下而且从一代开始玩就等于这个版本的完全打不过下个版本组给我种不就别想继续玩的感觉要知道王已经出了好多了预约奖励之类的跟没有一样除了钻石能开包之外其他都是养成玩法实在太肝到了一定等级才会解锁某张而且想要的不在一个身上也就是需要肝数个才行我这一星就是给王这个名字的特色金系统多奖励减半是大家都知道的如果就这一家有这也就忍了但还有际服这个竞争对手服一的优势就是好所以王不要再走提前圈猪老路了王这非常有潜力的如果这你都能经营黄了那你可真厉害了想提点小建议中的不用让你比际服高差不多就行这样亲民点才能大量引流际服和萌新基数多了你害怕赚不到吗你这点可以学学的者人家可以一分不花为什么赚这么多就是基数大一人元也比你这扣等土豪金强服王越来越好不要变成短命。用心做特用脚做什么规则什么故事情节统统舍弃你这样还不如自己开发独立呢!有谁见过场上只能放张片的吗哦,5,4.20.0,1,0,2022-02-28T14:00:58-07:00,2
真垃圾,垃圾软件，视频人都匹配不到,1,4.20.0,0,0,2022-02-28T09:18:26-07:00,2
抗议抗议,作为一个1500天老用户，都不分配个女朋友😡,5,4.20.0,0,0,2022-02-28T08:30:08-07:00,2
非常垃圾,员工非常垃圾，明明没有违规判定别人违规，别人申诉了几次就直接封号半个月没有任何理由就是看审核员的心情来的迟早玩完,1,4.20.0,0,0,2022-02-28T07:32:51-07:00,2
